"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/.eslintrc.cjs", "JavaScript", 0, 0, 21, 0, 0, 0, 1, 22
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/index.html", "HTML", 0, 0, 0, 0, 14, 0, 2, 16
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/package-lock.json", "JSON", 0, 0, 0, 4342, 0, 0, 1, 4343
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/package.json", "JSON", 0, 0, 0, 32, 0, 0, 1, 33
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/searching/BinarySearch.js", "JavaScript", 0, 0, 60, 0, 0, 20, 14, 94
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/searching/BinarySearchTree.js", "JavaScript", 0, 0, 22, 0, 0, 5, 6, 33
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/searching/Node.js", "JavaScript", 0, 0, 33, 0, 0, 0, 9, 42
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/sorting/InsertionSort.js", "JavaScript", 0, 0, 78, 0, 0, 20, 14, 112
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/sorting/QuickSort.js", "JavaScript", 0, 0, 113, 0, 0, 21, 17, 151
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/algorithmExecutor/sorting/SelectionSort.js", "JavaScript", 0, 0, 76, 0, 0, 20, 13, 109
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/data.js", "JavaScript", 0, 0, 119, 0, 0, 1, 1, 121
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/helper.js", "JavaScript", 0, 0, 76, 0, 0, 22, 11, 109
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/state/searching/BinarySearchState.js", "JavaScript", 0, 0, 26, 0, 0, 15, 5, 46
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/state/searching/BinarySearchTreeState.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/state/sorting/InsertionSortState.js", "JavaScript", 0, 0, 31, 0, 0, 16, 5, 52
"/Users/hadjshell/Library/CloudStorage/OneDrive-Personal/Personal-Projects/Algorithm-Visualiser/my-app/src/backend/state/sorting/QuickSortState.js", "JavaScript", 0, 0, 35, 0, 0, 18, 5, 58
